exerciseId,stevilo_resevanj
10760,9
10761,17
10766,5
10767,7
10770,6
10771,14
10772,15
10773,9
10774,16
10775,7
10776,13
10777,10
10779,12
10780,12
10857,6
10880,4
10882,4
10884,7
10885,13
10887,3
10888,5
10889,10
10890,10
10895,12
10896,9
10924,12
10927,1
10928,7
10929,1
10930,3
10931,3
10932,1
10933,1
10937,13
10938,1
10942,9
10947,2
10982,1
10985,1
10986,2
10987,1
11208,8
11348,2
11353,2
11385,3
11387,18
11420,7
11421,7
11422,5
11423,4
11424,2
11425,1
11426,9
11589,1
11595,1
11600,1
11602,1
11605,1
11615,1
11619,2
11622,1
11885,1
11889,3
11899,8
11900,1
11901,1
11903,17
11967,1
11974,8
12072,1
12080,1
12118,1
12119,2
12124,1
12127,2
12128,3
12129,4
12130,4
12132,6
12133,12
12134,6
12135,2
12136,2
12138,2
12140,3
12144,1
12146,1
12149,2
12150,3
12151,8
12152,1
12153,5
12154,11
12155,15
12156,5
12158,1
12159,6
12167,3
12171,4
12172,2
12173,7
12174,1
12175,1
12176,11
12177,2
12178,5
12179,7
12180,8
12181,3
12182,6
12185,12
12186,2
12190,5
12192,4
12195,2
12211,11
12212,6
12213,1
12249,1
12257,2
12335,4
1710,85
1711,185
1712,184
1713,102
1714,150
1715,228
1716,101
1717,117
1718,108
1719,110
1720,246
1721,40
1722,54
1723,49
1724,59
1725,56
1726,60
1727,74
1728,79
1729,159
1730,41
1731,75
1732,81
1733,78
1734,79
1735,76
1736,59
1737,77
1738,129
1739,63
1740,64
1741,59
1742,79
1743,106
1744,124
1745,122
1746,107
1747,116
1748,130
1749,24
1750,37
1751,83
1752,114
1753,26
1754,115
1755,132
1756,174
1757,154
1758,118
1759,52
1760,51
1761,18
1762,109
1763,108
1764,91
1765,116
1766,91
1767,98
1768,108
1769,99
1770,71
1771,85
1772,113
1773,164
1774,158
1775,172
1776,85
1777,69
1778,112
1779,123
1780,87
1781,88
1782,137
1783,108
1784,150
1785,169
1786,149
1787,151
1788,93
1789,72
1790,128
1791,110
1792,163
1793,77
1794,181
1795,30
1796,97
1797,111
1798,111
1799,124
1800,150
1801,179
1802,101
1803,109
1804,90
1805,72
1806,136
1807,76
1808,102
1809,119
1810,151
1811,109
1812,93
1813,100
1814,60
1815,134
1816,160
1817,161
1818,70
1819,63
1820,81
1821,96
1822,91
1823,87
1824,76
1825,72
1826,55
1827,84
1828,106
1829,83
1830,85
1831,137
1832,61
1833,66
1834,96
1835,78
1836,91
1837,116
1838,87
1839,125
1840,174
1841,152
1842,92
1843,93
1844,85
1845,97
1846,110
1847,98
1848,87
1849,108
1850,163
1851,171
1852,152
1853,92
1854,76
1855,68
1856,89
1857,99
1858,117
1859,113
1860,128
1861,82
1862,149
1863,58
1864,74
1865,85
1866,99
1867,86
1868,103
1869,99
1870,123
1871,125
1872,160
1873,85
1874,92
1875,74
1876,112
1877,113
1878,90
1879,189
1880,91
1881,69
1882,66
1883,96
1884,102
1885,96
1886,113
1887,164
1888,66
1889,47
1890,87
1891,82
1892,82
1893,79
1894,61
1895,73
1896,94
1897,97
1898,97
1899,100
1900,83
1901,103
1902,104
1903,167
1905,61
1906,103
1907,97
1908,108
1909,73
1910,115
1911,109
1912,170
1913,192
1914,109
1915,79
1916,108
1917,102
1918,94
1919,101
1920,97
1921,149
1922,131
1923,140
1924,78
1925,89
1926,68
1927,123
1928,111
1929,103
1930,72
1931,71
1932,112
1933,60
1934,34
1935,72
1936,53
1937,56
1938,71
1939,59
1940,72
1941,46
1942,102
1943,106
1944,109
1945,108
1946,74
1947,66
1948,120
1949,77
1950,80
1951,112
1952,93
1953,127
1954,159
1955,121
1956,98
1957,76
1958,80
1959,99
1960,98
1961,189
1962,97
1963,70
1964,107
1965,115
1966,124
1967,136
1968,103
1969,131
1970,126
1971,140
1972,60
1973,64
1974,65
1975,68
1976,101
1977,112
1978,83
1979,96
1981,149
1982,88
1983,43
1984,76
1985,80
1986,111
1987,112
1988,123
1989,168
1990,145
1991,118
1992,106
1993,84
1994,90
1995,143
1996,88
1997,126
1998,184
1999,90
2000,102
2001,90
2002,116
2003,189
2004,102
2005,135
2006,122
2007,125
2008,113
2009,117
2010,119
2011,126
2012,158
2013,107
2014,171
2015,171
2016,198
2017,95
2018,101
2019,125
2020,163
2021,152
2027,87
2028,89
2029,104
2030,69
2031,101
2032,170
2033,94
2034,65
2035,138
2036,185
2037,181
2038,91
2039,62
2040,154
2041,108
2042,218
2043,83
2044,91
2045,89
2046,98
2047,161
2048,169
2049,99
2050,148
2051,164
2052,84
2053,62
2054,79
2055,62
2056,90
2057,89
2058,83
2059,82
2060,88
2061,70
2062,60
2063,90
2064,86
2065,60
2066,80
2067,113
2068,102
2069,100
2070,95
2071,14
2072,57
2073,58
2074,64
2075,62
2076,109
2077,103
2078,95
2079,107
2080,121
2081,104
2082,55
2083,68
2084,96
2085,93
2086,109
2087,169
2088,148
2089,163
2090,171
2091,93
2092,52
2093,54
2094,77
2095,68
2096,95
2097,121
2098,98
2099,115
2100,113
2101,69
2102,96
2103,114
2104,120
2105,109
2106,87
2107,102
2108,85
2109,219
2110,64
2111,80
2112,74
2113,102
2114,73
2115,111
2116,93
2117,112
2118,166
2119,168
2120,90
2121,71
2122,83
2123,63
2124,69
2125,108
2126,119
2127,113
2128,109
2129,83
2130,100
2131,173
2132,99
2133,71
2134,78
2135,95
2136,84
2137,176
2138,8
2139,164
2140,85
2141,77
2142,84
2143,118
2144,71
2145,120
2146,74
2147,9
2148,112
2149,111
2150,155
2151,68
2152,106
2153,119
2154,109
2155,104
2156,109
2157,98
2158,195
2159,180
2160,176
2163,1
2166,1
2169,1
2171,1
2188,1
2190,1
2196,1
2201,1
2210,2
2213,2
2217,1
2218,1
2221,103
2223,1
2226,95
2228,1
2229,125
2230,134
2233,2
2234,2
2303,11
2315,5
2318,28
2319,6
2320,24
2321,29
2322,12
2323,5
2324,14
2326,10
2328,12
2335,7
2338,5
2343,27
2346,6
2353,4
2357,13
2361,5
2362,12
2363,8
2364,8
2365,9
2366,6
2369,8
2371,3
2372,11
2374,5
2381,10
2382,8
2383,6
2384,7
2385,18
2386,11
2413,6
2419,9
2421,4
2436,22
2437,8
2438,4
2439,11
2440,13
2441,5
2442,3
2478,30
2479,4
2481,3
2484,12
2496,9
2497,6
2498,15
2499,10
2500,11
2501,12
2502,85
2503,79
2504,64
2505,80
2506,129
2507,5
2508,54
2509,29
2510,64
2511,30
2512,37
2513,120
2514,59
2515,93
2516,154
2517,43
2518,43
2519,43
2520,36
2521,35
2522,81
2523,85
2524,86
2525,91
2526,118
3055,56
3056,5
3057,8
3058,43
3059,40
3060,32
3061,62
3062,63
3063,37
3064,84
3065,26
3066,36
3067,35
3068,70
3069,38
3070,44
3071,30
3072,100
3073,60
3074,58
3075,35
3076,55
3077,98
3078,31
3079,32
3080,35
3081,38
3082,114
3083,44
3084,113
3085,3
3086,11
3087,10
3088,4
3089,7
3090,5
3091,5
3092,7
3093,5
3094,7
3095,8
3096,7
3097,5
3098,8
3099,11
3100,4
3101,8
3102,30
3103,9
3745,3
5015,1
5028,1
5562,56
5563,45
5564,26
5565,30
5566,31
5567,28
5568,79
5569,100
5570,17
6883,1
6887,1
6889,1
6901,1
6910,2
6912,2
6917,2
6923,19
6924,36
6926,10
6928,28
6929,8
6930,44
6931,54
6932,46
6955,1
6957,1
6959,1
6960,1
7069,16
7070,16
7071,19
7072,12
7073,15
7074,18
7075,16
7076,21
7077,16
7078,22
7079,28
7080,8
7081,25
7082,32
7083,17
7084,11
7085,21
7086,11
7087,15
7088,22
7089,31
7091,25
7092,26
7093,19
7094,19
7095,24
7096,16
7098,16
7099,22
7100,20
7101,21
7102,21
7103,13
7104,23
7105,22
7106,25
7107,10
7108,20
7109,14
7110,20
7111,24
7112,15
7113,20
7114,18
7115,17
7116,28
7117,27
7118,15
7119,20
7120,11
7121,18
7122,15
7123,20
7124,31
7125,1
7126,40
7127,34
7128,7
7129,31
7130,41
7131,57
7132,27
7133,30
7134,45
7135,87
7136,67
7137,21
7138,51
7139,37
7140,55
7141,58
7142,18
7143,34
7144,50
7145,19
7146,30
7147,21
7148,72
7149,42
7150,22
7151,74
7152,79
7153,58
7154,86
7155,24
7156,22
7157,43
7158,66
7159,57
7160,55
7163,56
7166,27
7167,29
7168,33
7169,28
7170,30
7171,28
7172,28
7173,27
7174,30
7175,34
7176,34
7177,32
7178,40
7179,23
7181,37
7182,40
7183,33
7184,31
7185,38
7186,16
7187,34
7188,39
7189,28
7190,33
7191,31
7192,23
7194,33
7196,11
7197,2
7198,3
7199,8
7200,10
7201,1
7202,15
7204,6
7205,7
7206,13
7207,12
7209,7
7210,3
7211,8
7212,11
7218,14
7219,7
7223,9
7224,10
7225,9
7226,10
7228,4
7229,7
7230,11
7231,12
7233,10
7234,6
7235,6
7236,7
7237,20
7239,11
7410,4
7411,4
7412,9
7413,10
7414,7
7416,11
7417,6
7418,10
7419,11
7420,9
7421,19
7422,6
7423,8
7424,4
7425,4
7426,9
7427,10
7428,14
7429,11
7430,12
7431,7
7432,8
7439,8
7440,5
7441,4
7442,3
7443,6
7459,8
7460,3
7461,5
7462,1
7463,8
7479,5
7480,6
7481,5
7483,5
7499,4
7500,3
7501,6
7502,2
7503,6
7514,16
7515,11
7516,12
7517,13
7519,14
7520,9
7521,15
7522,7
7524,9
7525,5
7526,6
7527,7
7528,14
7530,12
7554,17
7555,5
7556,12
7557,16
7558,6
7559,10
7560,11
7561,9
7562,11
7563,5
7564,11
7565,7
7566,6
7567,20
7568,3
7569,10
7570,11
7571,10
7572,16
7573,10
7574,10
7575,9
7576,6
7577,14
7578,8
7579,4
7580,8
7581,8
7582,5
7583,6
7584,3
7585,4
7587,3
7588,14
7590,13
7591,5
7592,9
7593,6
7594,7
7595,12
7835,1
8166,11
8167,18
8168,12
8169,25
8170,10
8171,4
8172,9
8173,22
8174,21
8177,19
8178,10
8179,15
8180,11
8181,16
8182,13
8183,10
8184,9
8185,5
8186,6
8187,7
8188,10
8189,7
8190,10
8191,7
8192,2
8193,12
8194,26
8195,15
8196,14
8197,16
8198,12
8199,18
8200,26
8201,14
8202,20
8203,23
8204,16
8205,19
8206,17
8207,21
8208,12
8209,11
8210,24
8211,15
8212,20
8213,18
8214,18
8215,17
8216,19
8217,13
8218,20
8219,17
8220,26
8221,19
8222,16
8223,17
8224,12
8225,17
8226,11
8227,20
8228,16
8229,20
8230,23
8231,13
8232,16
8233,25
8234,12
8235,12
8236,16
8237,34
8239,27
8240,15
8241,31
8243,7
8244,12
8246,12
8247,29
8249,12
8250,15
8252,7
8253,16
8254,16
8268,17
8269,14
8270,21
8271,1
8272,13
8273,28
8274,17
8275,20
8276,13
8277,13
8278,27
8279,18
8281,20
8283,8
8284,15
8285,14
8286,12
8287,5
8288,22
8289,17
8290,28
8291,6
8292,13
8293,5
8294,1
8295,36
8496,6
8498,15
8499,12
8500,11
8501,10
8502,7
8506,15
8507,37
8508,14
8509,22
8510,4
8511,3
8512,6
8513,4
8514,24
8515,15
8517,20
8518,29
8519,23
8520,24
8522,25
8523,19
8524,12
8525,7
8526,28
8527,1
8528,6
8529,5
8530,20
8531,18
8532,23
8533,7
8534,6
8535,6
8536,5
8537,11
8538,4
8539,2
8540,5
8541,5
8542,5
8543,3
8544,5
8545,3
8546,5
8547,5
8548,3
8549,6
8550,7
8552,6
8553,3
8554,2
8555,5
8556,1
8557,6
8558,2
8559,4
8560,5
8561,4
8562,1
8563,2
8567,1
8568,4
8569,8
8570,21
8572,8
8573,4
8574,19
8575,5
8576,2
8577,5
8578,7
8580,3
8581,2
8582,1
8583,4
8585,1
8586,1
8587,2
8588,19
8589,1
8590,13
8591,1
8592,14
8593,12
8594,18
8595,8
8596,1
8597,12
8598,16
8599,15
8600,18
8601,13
8602,5
8604,3
8605,3
8606,2
8607,11
8608,11
8609,11
8610,10
8611,18
8612,12
8613,15
8614,12
8615,9
8818,1
8826,1
9632,2
9636,2
9637,1
9638,14
9639,5
9640,2
9641,2
9642,4
9643,13
9644,15
9645,13
9646,12
9648,8
9649,7
9650,10
9651,1
9652,6
9653,5
9654,5
9655,2
9656,5
9657,6
9658,8
9659,4
9660,5
9661,4
9681,2
9682,4
9683,3
9684,3
9685,2
9686,4
9687,6
9688,5
9689,2
9690,3
9691,1
9692,2
9693,5
9694,4
9695,5
9696,2
9699,6
9700,3
9701,2
9702,1
9703,5
9704,1
9705,1
9706,3
9707,3
9708,4
9709,2
9710,3
9711,8
9712,14
9713,11
9714,7
9715,7
9716,6
9717,9
9718,6
9719,19
9720,11
9721,9
9722,7
9723,7
9724,12
9725,8
9726,9
9727,3
9728,3
9729,10
9730,12
9731,9
9732,4
9733,4
9734,7
9735,11
9736,6
9737,3
9738,9
9739,9
9740,14
9741,10
9742,21
9743,15
9745,21
9747,23
9748,19
9749,8
9750,15
9763,14
9764,5
9765,12
